City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Idenao,CM,4.2475,9.0047,76.41,95,100,2.75,light rain
80,Tahta,EG,26.7693,31.5021,67.66,35,2,5.46,clear sky
81,Castro,BR,-24.7911,-50.0119,58.96,94,47,9.66,scattered clouds
82,Bilma,NE,18.6853,12.9164,68.22,16,0,4.05,clear sky
83,Palora,EC,-1.7,-77.9333,66.56,97,100,2.89,overcast clouds
84,Ushuaia,AR,-54.8,-68.3,47.86,49,75,9.22,broken clouds
85,Bakchar,RU,57.0186,82.0711,29.48,71,100,7.34,overcast clouds
86,Cape Town,ZA,-33.9258,18.4232,61.27,77,0,14.0,clear sky
87,San Vicente,AR,-26.6167,-54.1333,63.18,87,0,3.06,clear sky
88,Palimbang,PH,6.2106,124.1894,87.06,67,61,7.72,broken clouds
89,Bredasdorp,ZA,-34.5322,20.0403,61.05,72,100,9.46,overcast clouds
90,Mayumba,GA,-3.432,10.6554,76.87,90,100,3.85,light rain
91,Doba,TD,8.65,16.85,70.36,56,100,2.15,overcast clouds
92,Russell,US,32.3502,-85.1999,70.83,100,75,0.0,broken clouds
93,Prince Rupert,CA,54.3161,-130.3201,46.09,90,100,14.97,overcast clouds
94,Kavaratti,IN,10.5669,72.642,82.33,60,31,9.69,scattered clouds
95,Sao Filipe,CV,14.8961,-24.4956,78.24,77,100,4.43,overcast clouds
96,Biak,ID,-0.9131,122.8766,85.44,62,99,5.41,overcast clouds
97,Half Moon Bay,US,37.4636,-122.4286,62.51,76,40,23.02,mist
98,Ostrovnoy,RU,68.0531,39.5131,31.39,83,100,18.84,overcast clouds
99,Carnarvon,AU,-24.8667,113.6333,70.65,50,0,21.09,clear sky
100,Verkhnyaya Inta,RU,65.9811,60.3094,23.67,96,95,12.86,light snow
101,Kapaa,US,22.0752,-159.319,87.78,75,20,14.97,few clouds
102,Saskylakh,RU,71.9167,114.0833,-7.28,100,42,3.56,scattered clouds
103,Port Alfred,ZA,-33.5906,26.891,59.18,91,100,1.99,overcast clouds
104,Hilo,US,19.7297,-155.09,82.13,72,0,5.01,clear sky
105,Lorengau,PG,-2.0226,147.2712,86.79,60,96,5.48,overcast clouds
106,El Paraiso,HN,13.8667,-86.55,68.16,93,100,1.36,overcast clouds
107,Ust-Nera,RU,64.5667,143.2,19.31,91,100,12.86,light snow
108,Bengkulu,ID,-3.8004,102.2655,75.87,92,100,4.68,overcast clouds
109,Tasiilaq,GL,65.6145,-37.6368,30.36,92,100,5.28,light snow
110,Belokurikha,RU,51.9959,84.9896,33.71,34,0,4.85,clear sky
111,Phaltan,IN,17.9833,74.4333,68.58,63,0,0.51,clear sky
112,Rorvik,NO,64.8621,11.2373,48.31,87,100,5.75,overcast clouds
113,Luderitz,NA,-26.6481,15.1594,61.81,63,76,11.39,broken clouds
114,Namatanai,PG,-3.6667,152.4333,84.4,69,95,3.71,light rain
115,Victoria,HK,22.2855,114.1577,77.38,67,81,11.01,broken clouds
116,Talnakh,RU,69.4865,88.3972,5.36,96,91,2.37,overcast clouds
117,Agadir,MA,30.4202,-9.5982,75.65,23,100,10.13,overcast clouds
118,Atuona,PF,-9.8,-139.0333,77.31,73,6,17.65,clear sky
119,Clyde River,CA,70.4692,-68.5914,3.43,72,0,5.75,clear sky
120,Leningradskiy,RU,69.3833,178.4167,3.83,87,14,4.45,few clouds
121,Peruibe,BR,-24.32,-46.9983,66.15,90,37,5.28,scattered clouds
122,Sitka,US,57.0531,-135.33,44.49,70,100,8.05,light rain
123,Mogok,MM,22.9167,96.5,69.44,86,100,1.1,overcast clouds
124,Mount Isa,AU,-20.7333,139.5,87.57,45,75,18.41,broken clouds
125,Lebu,CL,-37.6167,-73.65,54.07,97,100,9.26,overcast clouds
126,Onguday,RU,50.75,86.15,28.2,39,26,3.31,scattered clouds
127,Kaitangata,NZ,-46.2817,169.8464,50.34,90,100,6.8,light rain
128,Olinda,BR,-8.0089,-34.8553,80.33,69,75,6.91,broken clouds
129,Huarmey,PE,-10.0681,-78.1522,62.78,83,19,9.8,few clouds
130,East London,ZA,-33.0153,27.9116,63.32,70,100,9.42,overcast clouds
131,Upernavik,GL,72.7868,-56.1549,23.72,95,100,5.55,light snow
132,Norman Wells,CA,65.282,-126.8329,17.64,86,100,4.61,overcast clouds
133,Moosomin,CA,50.1333,-101.6677,23.92,92,84,5.59,broken clouds
134,Kirkwall,GB,58.9848,-2.9587,53.65,94,100,10.36,overcast clouds
135,Faya,SA,18.3851,42.4509,57.31,71,0,2.64,clear sky
136,Panaba,MX,21.2833,-88.2667,78.4,78,90,6.22,overcast clouds
137,Severo-Kurilsk,RU,50.6789,156.125,41.63,62,1,8.93,clear sky
138,Karratha,AU,-20.7377,116.8463,89.26,17,0,18.59,clear sky
139,Khatanga,RU,71.9667,102.5,-4.09,99,96,3.87,overcast clouds
140,Georgetown,MY,5.4112,100.3354,84.24,81,20,2.3,few clouds
141,Dawlatabad,AF,36.4141,64.9053,56.75,75,17,5.82,few clouds
142,Bambous Virieux,MU,-20.3428,57.7575,72.21,83,75,11.5,light rain
143,Tukrah,LY,32.5341,20.5791,68.95,80,0,5.53,clear sky
144,Hambantota,LK,6.1241,81.1185,77.34,100,40,2.3,heavy intensity rain
145,Kruisfontein,ZA,-34.0033,24.7314,57.88,86,100,9.75,light rain
146,Vero Beach,US,27.6386,-80.3973,77.0,77,0,0.0,clear sky
147,Anklam,DE,53.8564,13.6897,48.38,95,26,6.91,scattered clouds
148,Havre-Saint-Pierre,CA,50.2334,-63.5986,50.36,100,100,3.44,fog
149,Choma,ZM,-16.8065,26.9531,70.25,43,67,2.91,broken clouds
150,Weston-Super-Mare,GB,51.346,-2.9766,61.45,94,100,17.27,overcast clouds
151,Pontianak,ID,-0.0333,109.3333,80.58,83,75,3.44,broken clouds
152,Ketchikan,US,55.3422,-131.6461,43.27,75,40,5.75,scattered clouds
153,Honiara,SB,-9.4333,159.95,85.53,71,69,7.0,broken clouds
154,Aitape,PG,-3.1374,142.3475,85.78,67,100,4.65,overcast clouds
155,Tan An,VN,10.5333,106.4167,84.22,79,100,4.74,overcast clouds
156,Itarema,BR,-2.9248,-39.9167,78.37,77,100,13.13,overcast clouds
157,Aquiraz,BR,-3.9014,-38.3911,80.69,78,32,10.45,scattered clouds
158,Nouadhibou,MR,20.931,-17.0347,70.66,81,5,10.78,clear sky
159,Besleney,RU,44.2405,41.7387,42.78,81,6,4.32,clear sky
160,Mar Del Plata,AR,-38.0023,-57.5575,62.94,81,100,13.0,light rain
161,Tutin,RS,42.9903,20.3314,48.36,92,6,1.3,clear sky
162,Camacha,PT,33.0833,-16.3333,67.42,94,20,12.66,few clouds
163,Lavrentiya,RU,65.5833,-171.0,27.45,77,59,13.24,broken clouds
164,Nedjo,ET,9.5046,35.5019,55.18,91,20,1.03,light rain
165,Umm Lajj,SA,25.0213,37.2685,78.26,60,1,8.99,clear sky
166,Chokurdakh,RU,70.6333,147.9167,8.65,95,100,1.52,light snow
167,Grants Pass,US,42.439,-123.3284,52.3,83,100,3.44,overcast clouds
168,Dong Xoai,VN,11.5333,106.9167,83.28,75,95,0.76,overcast clouds
169,New Norfolk,AU,-42.7826,147.0587,58.91,81,100,4.0,overcast clouds
170,Tebingtinggi,ID,3.3285,99.1625,75.67,94,100,1.66,moderate rain
171,Mount Gambier,AU,-37.8333,140.7667,60.71,94,100,14.97,overcast clouds
172,Erenhot,CN,43.6475,111.9767,33.91,46,6,12.44,clear sky
173,Broome,US,42.2506,-75.833,67.19,84,75,7.0,broken clouds
174,Zhigansk,RU,66.7697,123.3711,5.72,95,26,7.05,scattered clouds
175,Simbahan,PH,6.3032,120.5836,83.8,75,97,11.97,overcast clouds
176,Ribeira Grande,PT,38.5167,-28.7,61.77,74,64,11.01,broken clouds
