City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
280,Denpasar,-8.65,115.2167,80.26,88,20,4.61,ID,2022-10-22 16:53:26
281,Vila,42.0304,-8.1588,49.08,93,100,6.31,PT,2022-10-22 16:56:24
282,Calabozo,8.9242,-67.4293,91.13,51,41,6.42,VE,2022-10-22 16:56:24
283,Frontera,26.9333,-101.45,80.33,37,7,1.99,MX,2022-10-22 16:56:25
284,Zheleznodorozhnyy,55.7503,38.0042,43.14,80,97,4.97,RU,2022-10-22 16:56:25
285,Varkkallai,8.7341,76.7067,80.38,85,73,1.32,IN,2022-10-22 16:56:25
286,Novyy Urengoy,66.0833,76.6333,29.07,92,97,8.95,RU,2022-10-22 16:55:53
287,Nalut,30.3333,10.85,73.24,30,0,5.19,LY,2022-10-22 16:56:26
288,Mahajanga,-15.7167,46.3167,78.82,53,0,8.05,MG,2022-10-22 16:56:26
289,Bintulu,3.1667,113.0333,77.41,94,20,3.44,MY,2022-10-22 16:56:27
290,Cockburn Town,21.4612,-71.1419,82.94,72,66,14.45,TC,2022-10-22 16:51:38
291,Mastic Beach,40.7668,-72.8521,67.98,63,0,1.01,US,2022-10-22 16:56:27
292,Lebu,-37.6167,-73.65,56.48,64,66,9.35,CL,2022-10-22 16:56:28
293,Kapoeta,4.7717,33.5903,87.22,33,51,9.8,SS,2022-10-22 16:56:28
294,Takab,36.4009,47.1133,56.82,53,91,8.57,IR,2022-10-22 16:56:28
295,Indiana,40.0003,-86.2503,72.95,53,0,17.27,US,2022-10-22 16:56:29
296,Teguldet,57.3064,88.1667,46.09,84,100,8.93,RU,2022-10-22 16:56:29
297,Sao Lourenco Do Sul,-31.3653,-51.9783,68.72,63,39,4.61,BR,2022-10-22 16:52:19
298,Diamantino,-14.4086,-56.4461,77.61,79,100,2.66,BR,2022-10-22 16:56:29
299,Smithers,54.7804,-127.1743,32.32,93,75,2.3,CA,2022-10-22 16:56:30
300,Evensk,61.95,159.2333,9.46,76,53,9.1,RU,2022-10-22 16:56:30
301,Chuy,-33.6971,-53.4616,59.47,96,98,1.5,UY,2022-10-22 16:56:31
302,Quelimane,-17.8786,36.8883,80.55,78,0,14.0,MZ,2022-10-22 16:55:07
303,Forbes,-33.3833,148.0167,63.91,96,100,6.49,AU,2022-10-22 16:56:16
304,Kralendijk,12.15,-68.2667,83.14,75,22,10.47,BQ,2022-10-22 16:55:55
305,Dwarka,22.2394,68.9678,84.97,50,1,16.82,IN,2022-10-22 16:56:31
306,Kavali,14.9167,79.9833,79.25,71,99,9.42,IN,2022-10-22 16:56:32
307,Laon,49.5667,3.6667,61.32,71,79,5.14,FR,2022-10-22 16:56:19
308,Ghanzi,-21.5667,21.7833,87.62,19,48,7.94,BW,2022-10-22 16:55:07
309,Osa,57.2829,55.4567,32.4,64,100,8.84,RU,2022-10-22 16:56:32
310,Lavrentiya,65.5833,-171.0,32.76,91,98,4.97,RU,2022-10-22 16:56:32
